ID,NOME,ANO_PESQUISA,INSTITUICAO_ENSINO_ALUNO,BOLSISTA,ANOS_PM,FASE,TURMA,PONTO_VIRADA,INDE,PEDRA,IAA,IEG,IPS,IDA,IPP,IPV,IAN,NIVEL_IDEAL,DEFASAGEM
200,ALUNO-200,2020,Escola Pública,0,4,4,F,Não,7.356,Ametista,7.917,5.8,7.5,5.667,8.125,8.542,10.0,,
201,ALUNO-201,2020,Escola Pública,0,1,3,L,Não,7.719,Ametista,7.083,9.4,7.5,8.0,7.969,7.417,5.0,,
202,ALUNO-202,2020,Escola Pública,0,2,2,R,Não,3.78,Quartzo,0.0,2.9,6.875,0.0,6.458,6.833,5.0,,
206,ALUNO-206,2020,Escola Pública,0,2,6,B,Não,5.216,Quartzo,0.0,4.3,7.5,2.0,7.812,7.125,10.0,,
208,ALUNO-208,2020,Escola Pública,0,0,2,D,Não,7.843,Ametista,9.0,9.4,7.5,5.0,8.125,7.5,10.0,,
209,ALUNO-209,2020,Escola Pública,0,1,0,H,Sim,9.075,Topázio,9.5,10.0,6.25,10.0,10.0,10.0,5.0,,
210,ALUNO-210,2020,Rede Decisão/União,1,3,5,B,Não,8.213,Ametista,10.0,9.1,7.5,5.667,8.542,8.278,10.0,,
212,ALUNO-212,2020,Escola Pública,0,1,0,H,Não,6.346,Ágata,7.417,10.0,4.375,7.0,2.5,2.583,10.0,,
213,ALUNO-213,2020,Escola Pública,0,2,2,P,Não,8.082,Ametista,9.0,9.7,5.0,9.0,8.75,7.833,5.0,,
215,ALUNO-215,2020,Escola Pública,0,1,1,A,Não,8.875,Topázio,9.5,9.3,7.5,10.0,7.812,7.667,10.0,,
216,ALUNO-216,2020,UNISA,1,1,8,A,Não se Aplica,5.96,Quartzo,8.75,0.0,5.625,7.4,0.0,0.0,10.0,,
217,ALUNO-217,2020,Escola Pública,0,1,1,B,Sim,8.943,Topázio,8.0,9.4,7.5,9.5,8.125,9.0,10.0,,
219,ALUNO-219,2020,Escola Pública,0,1,2,M,Não,7.832,Ametista,9.5,7.9,8.75,5.0,8.438,7.917,10.0,,
222,ALUNO-222,2020,Escola Pública,0,1,1,F,Não,8.479,Topázio,9.0,7.8,7.5,9.5,7.188,8.25,10.0,,
223,ALUNO-223,2020,Escola Pública,0,1,1,E,Não,6.593,Ágata,9.0,5.2,6.875,5.0,8.542,8.056,5.0,,
225,ALUNO-225,2020,Escola Pública,0,4,4,B,Não,8.846,Topázio,9.583,9.7,7.5,8.333,8.75,8.278,10.0,,
226,ALUNO-226,2020,Rede Decisão/União,1,2,2,G,Não,7.849,Ametista,8.5,7.4,5.625,7.5,8.125,8.222,10.0,,
227,ALUNO-227,2020,Escola Pública,0,0,3,L,Não,5.981,Quartzo,8.75,3.0,7.5,6.333,7.812,6.042,5.0,,
229,ALUNO-229,2020,Escola Pública,0,1,1,H,Não,5.891,Quartzo,7.333,7.8,7.5,0.0,7.917,7.778,5.0,,
230,ALUNO-230,2020,Rede Decisão/União,1,4,3,G,Não,5.005,Quartzo,8.75,6.1,4.375,2.333,5.833,4.611,5.0,,
231,ALUNO-231,2020,Escola Pública,0,1,6,C,Não,5.96,Quartzo,8.333,3.7,5.0,4.333,7.031,6.583,10.0,,
235,ALUNO-235,2020,Rede Decisão/União,1,1,3,B,Não,8.125,Ametista,8.333,9.0,7.5,7.667,7.5,7.292,10.0,,
238,ALUNO-238,2020,Escola Pública,0,1,2,H,Não,6.493,Ágata,9.0,8.4,5.0,4.0,5.625,7.75,5.0,,
241,ALUNO-241,2020,Escola Pública,0,3,1,G,Não,7.285,Ametista,9.0,8.8,6.25,9.5,2.5,6.75,5.0,,
242,ALUNO-242,2020,Escola Pública,0,2,1,G,Não,6.707,Ágata,9.0,7.4,6.25,5.5,7.188,6.917,5.0,,
246,ALUNO-246,2020,Escola Pública,0,1,1,J,Não,7.639,Ametista,9.5,8.3,6.875,8.0,7.083,7.667,5.0,,
