NOME,INSTITUICAO_ENSINO_ALUNO_2021,FASE_2021,TURMA_2021,PONTO_VIRADA_2021,SINALIZADOR_INGRESSANTE_2021,INDE_2021,PEDRA_2021,IAA_2021,IEG_2021,IPS_2021,IDA_2021,IPP_2021,IPV_2021,IAN_2021,REC_EQUIPE_1_2021,REC_EQUIPE_2_2021,REC_EQUIPE_3_2021,REC_EQUIPE_4_2021,NIVEL_IDEAL_2021,DEFASAGEM_2021
ALUNO-742,Escola Pública,3,G,Não,Ingressante,7.36,Ametista,7.5,6.1,7.5,6.8,7.7,7.5,10.0,Promovido de Fase,Mantido na Fase atual,Promovido de Fase,Não avaliado,Nível 3 (7o e 8o ano),0
ALUNO-743,Escola Pública,1,J,Não,Veterano,8.061,Ametista,10.0,8.8,5.0,6.4,7.9,8.7,10.0,Mantido na Fase atual,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Nível 1 (4o ano),0
ALUNO-746,Rede Decisão,2,G,Sim,Veterano,9.107,Topázio,9.0,8.8,8.8,9.3,8.5,9.4,10.0,Promovido de Fase,Promovido de Fase,Mantido na Fase atual,Não avaliado,Nível 2 (5o e 6o ano),0
ALUNO-747,Escola Pública,4,E,Sim,Veterano,8.675,Topázio,8.8,8.9,7.5,7.4,9.2,9.3,10.0,Promovido de Fase + Bolsa,Promovido de Fase + Bolsa,Promovido de Fase,Promovido de Fase + Bolsa,Nível 4 (9o ano),0
ALUNO-748,Escola Pública,0,Q,Não,Ingressante,7.985,Ametista,10.0,10.0,7.5,6.4,7.8,8.3,5.0,Promovido de Fase,Mantido na Fase atual,Não avaliado,Não avaliado,Nível 2 (5o e 6o ano),-2
ALUNO-749,Escola Pública,4,G,Não,Veterano,6.508,Ágata,6.3,5.0,7.5,7.6,7.5,6.8,5.0,Promovido de Fase,Promovido de Fase,Promovido de Fase,Promovido de Fase,Nível 5 (1o EM),-1
ALUNO-753,Escola Pública,4,E,Não,Veterano,4.785,Quartzo,8.3,2.5,7.5,0.8,7.2,4.1,10.0,Mantido na Fase atual,Mantido na Fase atual,Promovido de Fase,Mantido na Fase atual,Nível 3 (7o e 8o ano),1
ALUNO-755,Rede Decisão,4,G,Não,Veterano,6.872,Ágata,7.1,4.7,6.9,6.8,7.8,7.0,10.0,Promovido de Fase,Promovido de Fase,Promovido de Fase,Promovido de Fase,Nível 4 (9o ano),0
ALUNO-757,Escola Pública,3,A,Não,Veterano,5.421,Quartzo,7.9,5.3,7.5,2.9,7.3,5.1,5.0,Mantido na Fase atual,Promovido de Fase,Mantido na Fase atual,Não avaliado,Nível 4 (9o ano),-1
ALUNO-758,Escola Pública,2,K,Não,Veterano,6.983,Ametista,8.5,5.4,7.5,6.5,8.3,8.3,5.0,Promovido de Fase,Promovido de Fase,Mantido na Fase atual,Não avaliado,Nível 3 (7o e 8o ano),-1
