NOME,ANO_INGRESSO_2022,BOLSISTA_2022,FASE_2022,TURMA_2022,PONTO_VIRADA_2022,INDE_2022,PEDRA_2022,CG_2022,CF_2022,CT_2022,DESTAQUE_IEG_2022,DESTAQUE_IDA_2022,DESTAQUE_IPV_2022,IAA_2022,IEG_2022,IPS_2022,IDA_2022,IPP_2022,IPV_2022,IAN_2022,NOTA_PORT_2022,NOTA_MAT_2022,NOTA_ING_2022,QTD_AVAL_2022,REC_AVA_1_2022,REC_AVA_2_2022,REC_AVA_3_2022,REC_AVA_4_2022,NIVEL_IDEAL_2022,INDICADO_BOLSA_2022
ALUNO-358,2022,False,7,D,Não,6.112,Ágata,706,14,8,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,7.917,8.333,5.0,3.5,6.875,6.333,5.0,7.0,0.0,0.0,4,Promovido de Fase + Bolsa,Mantido na Fase atual,Mantido na Fase + Bolsa,Mantido na Fase atual,Fase 8 (Universitários),True
ALUNO-359,2019,False,3,I,Não,7.926,Ametista,162,26,1,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,8.333,7.709,7.5,6.944,8.281,7.917,10.0,5.333,7.0,8.5,4,Promovido de Fase + Bolsa,Mantido na Fase atual,Promovido de Fase,Mantido na Fase + Bolsa,Fase 3 (7º e 8º ano),True
ALUNO-360,2022,False,3,L,Não,5.939,Quartzo,734,106,3,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,6.667,5.083,5.625,3.833,7.344,5.958,10.0,7.0,4.5,0.0,4,Promovido de Fase,Mantido na Fase atual,Mantido na Fase atual,Mantido na Fase atual,Fase 3 (7º e 8º ano),False
ALUNO-362,2022,False,3,A,Não,7.993,Ametista,145,22,5,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,7.5,9.171,7.5,6.111,8.281,8.042,10.0,3.667,6.667,8.0,4,Promovido de Fase + Bolsa,Promovido de Fase,Promovido de Fase,Promovido de Fase + Bolsa,Fase 3 (7º e 8º ano),True
ALUNO-363,2021,False,0,G,Não,7.42,Ametista,348,102,3,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,10.0,8.737,7.5,7.833,4.062,7.25,5.0,8.0,7.667,0.0,2,Mantido na Fase atual,Mantido na Fase atual,,,Fase 1 (4º ano),False
ALUNO-364,2019,False,2,A,Não,6.313,Ágata,683,126,12,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,7.417,6.869,4.375,5.0,6.042,5.778,10.0,3.0,7.0,0.0,3,Mantido na Fase atual,Promovido de Fase,Mantido na Fase atual,,Fase 2 (5º e 6º ano),False
ALUNO-365,2017,True,7,A,Não,5.951,Quartzo,731,15,7,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,8.75,4.468,5.625,5.011,5.625,5.278,10.0,2.833,3.533,8.667,4,Promovido de Fase,Mantido na Fase atual,Mantido na Fase atual,Mantido na Fase atual,Fase 7 (3º EM),False
ALUNO-366,2022,False,3,M,Não,5.557,Quartzo,781,116,14,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,5.417,6.851,6.25,3.056,7.344,5.875,5.0,2.667,4.833,1.667,4,Mantido na Fase atual,Mantido na Fase atual,Mantido na Fase atual,Promovido de Fase + Bolsa,Fase 4 (9º ano),True
ALUNO-369,2022,False,5,B,Não,6.488,Ágata,645,39,13,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,8.75,7.606,7.5,5.0,5.417,6.5,5.0,4.5,4.5,6.0,3,Mantido na Fase atual,Mantido na Fase atual,Mantido na Fase atual,,Fase 7 (3º EM),False
ALUNO-370,2019,False,4,F,Sim,7.692,Ametista,237,20,4,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,8.333,7.78,5.625,8.556,8.125,8.583,5.0,8.0,8.167,9.5,4,Promovido de Fase + Bolsa,Promovido de Fase + Bolsa,Promovido de Fase + Bolsa,Promovido de Fase + Bolsa,Fase 5 (1º EM),True
ALUNO-373,2017,False,5,C,Não,5.712,Quartzo,757,48,4,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,8.75,6.647,5.0,2.911,7.031,6.111,5.0,5.667,2.9,0.167,4,Promovido de Fase,Mantido na Fase atual,Mantido na Fase atual,Promovido de Fase,Fase 6 (2º EM),False
ALUNO-375,2016,True,3,B,Sim,8.155,Topázio,95,16,2,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,9.167,8.894,5.625,6.689,8.594,8.5,10.0,5.0,6.333,8.733,4,Promovido de Fase + Bolsa,Promovido de Fase,Promovido de Fase,Promovido de Fase + Bolsa,Fase 3 (7º e 8º ano),False
ALUNO-377,2017,True,3,F,Não,6.943,Ágata,510,65,11,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,7.083,8.08,5.0,4.722,7.656,7.042,10.0,6.333,5.0,2.833,4,Promovido de Fase + Bolsa,Mantido na Fase atual,Promovido de Fase,Mantido na Fase atual,Fase 3 (7º e 8º ano),False
ALUNO-378,2016,True,7,A,Não,7.427,Ametista,344,6,2,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,7.917,8.648,5.625,5.189,8.281,7.389,10.0,7.0,2.9,5.667,4,Promovido de Fase,Promovido de Fase + Bolsa,Promovido de Fase + Bolsa,Promovido de Fase + Bolsa,Fase 7 (3º EM),False
ALUNO-381,2019,False,0,G,Não,6.953,Ágata,503,144,6,Melhorar: Melhorar a sua entrega de lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,9.0,6.891,5.625,8.0,5.625,7.25,5.0,8.5,7.5,0.0,2,Promovido de Fase,Promovido de Fase,,,Fase 2 (5º e 6º ano),False
ALUNO-386,2022,False,0,G,Não,6.656,Ágata,604,166,9,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,8.5,8.696,4.375,4.917,5.625,7.917,5.0,4.833,5.0,0.0,2,Mantido na Fase atual,Mantido na Fase atual,,,Fase 1 (4º ano),False
ALUNO-387,2018,False,4,P,Não,5.159,Quartzo,814,73,9,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,7.5,5.126,6.25,3.222,6.562,4.792,5.0,1.333,4.5,3.833,4,Mantido na Fase atual,Mantido na Fase atual,Mantido na Fase atual,Promovido de Fase,Fase 5 (1º EM),False
ALUNO-388,2018,False,2,A,Não,6.446,Ágata,651,116,11,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,9.5,8.757,7.5,2.5,5.833,7.056,5.0,2.333,2.667,0.0,3,Mantido na Fase atual,Promovido de Fase,Mantido na Fase atual,,Fase 4 (9º ano),False
ALUNO-391,2022,False,0,J,Sim,8.058,Ametista,131,37,1,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,9.5,9.246,5.625,9.0,5.625,9.167,5.0,8.5,9.5,0.0,2,Promovido de Fase,Promovido de Fase,,,Fase 1 (4º ano),False
ALUNO-392,2022,False,0,J,Não,7.227,Ametista,417,124,6,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,8.5,8.095,5.625,5.667,5.625,7.5,10.0,7.667,3.667,0.0,2,Mantido na Fase atual,Mantido na Fase atual,,,ALFA  (2º e 3º ano),False
ALUNO-394,2016,True,4,F,Não,7.056,Ametista,468,38,9,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,7.5,8.895,5.0,7.267,7.656,7.792,2.5,6.0,7.333,8.467,4,Promovido de Fase + Bolsa,Promovido de Fase,Promovido de Fase,Promovido de Fase + Bolsa,Fase 7 (3º EM),False
ALUNO-395,2020,False,3,L,Não,5.063,Quartzo,817,126,5,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,9.167,4.078,7.5,2.778,6.25,5.75,2.5,4.0,3.167,1.167,4,Promovido de Fase,Mantido na Fase atual,Promovido de Fase,Alocado em Fase anterior,Fase 6 (2º EM),False
ALUNO-396,2019,False,6,A,Não,6.242,Ágata,698,14,14,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,7.917,6.084,7.5,4.989,7.188,6.333,5.0,8.167,1.533,5.267,4,Promovido de Fase,Mantido na Fase atual,Mantido na Fase atual,Promovido de Fase,Fase 7 (3º EM),False
ALUNO-398,2022,False,0,H,Não,6.931,Ágata,512,146,6,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,9.5,5.871,5.625,5.567,5.312,8.0,10.0,2.867,8.267,0.0,2,Promovido de Fase,Mantido na Fase atual,,,ALFA  (2º e 3º ano),False
ALUNO-402,2022,False,0,N,Não,7.096,Ametista,457,133,4,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,8.0,7.669,7.5,5.25,5.625,7.0,10.0,6.5,4.0,0.0,2,Mantido na Fase atual,Mantido na Fase atual,,,ALFA  (2º e 3º ano),False
ALUNO-403,2021,False,4,B,Não,5.597,Quartzo,775,70,12,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,0.0,5.285,6.25,3.944,7.344,6.958,10.0,3.667,4.667,3.5,4,Promovido de Fase,Mantido na Fase atual,Mantido na Fase atual,Promovido de Fase,Fase 4 (9º ano),False
ALUNO-404,2016,True,5,L,Sim,8.941,Topázio,6,4,3,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,8.333,9.661,8.125,8.511,8.438,9.083,10.0,8.833,8.333,8.367,4,Promovido de Fase,Mantido na Fase atual,Mantido na Fase + Bolsa,Promovido de Fase + Bolsa,Fase 5 (1º EM),False
ALUNO-405,2021,False,1,L,Não,7.011,Ágata,483,126,10,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,8.5,8.389,7.5,3.917,5.833,6.833,10.0,2.833,5.0,0.0,3,Mantido na Fase atual,Mantido na Fase atual,Mantido na Fase atual,,Fase 1 (4º ano),False
ALUNO-406,2018,False,1,C,Não,7.808,Ametista,199,47,3,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,9.0,8.167,7.5,9.167,6.25,7.833,5.0,9.333,9.0,0.0,3,Promovido de Fase,Promovido de Fase,Promovido de Fase + Bolsa,,Fase 3 (7º e 8º ano),True
